,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
56,22,79,22079,5.103617714687446,1544.4038398242417,1.0923700253783724,5446065.410684677,24098,2.68111351891982,3.5291751714583355
57,22,41,22041,4.6942939995623565,1740.627018022978,1.083970949932835,2863289.3113270146,9309,2.4155659155659155,3.145605226472428
58,22,83,22083,4.321376771774672,1754.6689251684843,1.0736187952524958,2564979.677931975,7425,2.359822700649042,3.002323876071035
59,22,77,22077,3.775628236320026,1269.7912047791067,1.0750011825781283,1941532.4196045774,6665,2.3154339165078817,3.54411806102676
60,22,13,22013,2.637432580438819,1380.2367016575804,1.0945823968504258,2938998.090036214,6699,2.405982905982906,3.4555117204598216
61,22,85,22085,2.5623492679125177,1283.701650219689,1.0923850498717138,3363120.432424588,7902,2.367197974080143,3.517853307669568
62,22,71,22071,42.142999616553034,4894.737023717474,1.0628807948647543,4435147.703967905,60245,3.154140260828576,3.499779867155337
63,22,49,22049,2.4425791115967925,1317.3979311162877,1.0920849073566035,1980482.5072366188,4466,2.4561546840958606,3.430582710110232
64,22,47,22047,3.31079295077509,818.8940283497847,1.0833693648490739,1384860.8876786006,7045,2.5275942132523666,3.4565647009167924
65,22,65,22065,2.2003002601376656,1334.6101319169366,1.0920134471430483,2247904.6330589023,4628,2.507825148407987,3.4579842020098797
66,22,53,22053,2.9054618509364736,1338.7423843723034,1.0594818876995604,2284024.482095533,6486,2.629009481541255,2.6656392125998973
67,22,7,22007,3.2856186361849433,1108.7879560047018,1.0576469644317301,1062346.2038661041,3755,2.3929479034307497,3.5007212309882787
68,22,9,22009,1.9264208938893737,1019.2738197473661,1.0876677412722777,2285193.044496577,5391,2.5049780041676315,3.491664302244625
69,22,31,22031,4.832148003468647,1500.0594271124457,1.0919921716129077,3475610.7085079504,13010,2.328956770275098,3.230044576580558
70,22,99,22099,3.1498578993891835,800.2642748083687,1.0758842955871741,1692825.845915832,8168,2.4625544049227073,3.4804752089197644
71,22,55,22055,42.293826928643924,5909.133588508116,1.0848090258699414,4121069.5977145494,40839,2.7677651206943312,3.382544738903977
72,22,97,22097,4.61385816196454,1535.4162882101639,1.0692745303909374,3734497.459921458,14296,2.5594368205310998,3.297105000935724
73,22,63,22063,18.557893867626138,2587.0753299964526,1.0940666052477963,4633007.502380992,37954,2.284949148462418,3.3226764159030866
74,22,37,22037,3.975686335572942,1134.19388829593,1.0799208757374057,1338545.6685223118,5296,2.265558397271952,3.492567134733153
75,22,1,22001,3.9295161005773984,1568.2045344545318,1.0555664458457674,2670665.9232233935,9022,2.715929468021518,2.9724602248356344
76,22,39,22039,2.8636356023492073,1327.4063125259315,1.0867336538794745,2336699.2699608253,6511,2.599880975996826,3.142570596879539
77,08,71,8071,0.9403511328650775,780.0413198434836,1.168465347972215,9648162.557593592,14174,2.4463932593930013,3.4932573184325233
78,08,85,8085,1.8092777065813455,1061.152256940197,1.1938025248942339,6164178.2131470945,13486,2.575071360608944,3.385327165073265
79,08,14,8014,333.61836221663907,21048.35209465685,1.0862846308494964,1828885.0363808956,41616,2.879777839105837,3.3898941800807907
80,08,13,8013,49.00013862122784,5478.374434774812,1.1455996790240899,10506486.210960703,133240,2.8376342140827684,3.192013113689191
81,22,111,22111,1.60311519308644,1088.9603222584983,1.0877319077974508,2553404.6892093667,4666,2.5030593242883747,3.459328617515953
82,22,127,22127,1.9068201243701577,1231.8552044470398,1.096846203895645,3052472.4207716445,5886,2.508783068783069,3.424847604928601
83,08,41,8041,34.758267859857426,4072.012483820341,1.1148521423788686,22454940.84912946,274664,2.8645192593636035,3.3376310840362406
84,08,77,8077,5.3051187318193636,1432.1383736079395,1.1996805821578265,12392781.31946214,65550,2.8571024026836866,3.059295721490633
85,08,83,8083,1.4334117942248157,916.9545152736578,1.2014832773095112,4844453.333051271,9658,2.5581671728509177,3.306997318496963
86,22,121,22121,12.823541005909394,2332.314974565397,1.0702440845417251,1230947.656391043,8454,2.502659574468085,3.294082317603292
87,22,119,22119,7.584284567096906,1935.7419139797669,1.0863667490126991,3082931.0757140596,14311,2.3783425780279823,3.287878312064272
88,08,15,8015,3.362098211317099,1279.7441886789843,1.2255358539344248,3364083.5063869334,12177,2.7638606019461416,3.447872837970561
89,22,117,22117,4.001159508305513,1789.6720654688563,1.0892971903946949,3132807.657511353,9032,2.5883780696744716,3.413300295613393
90,36,101,36101,7.725140842806059,2092.1101609873062,1.0830487737952583,7607830.049750573,35498,2.533710664957995,3.470855126235419
91,36,91,36091,18.41394651456012,3208.0265750359927,1.131686992212246,7010500.941630009,52390,2.603876739562624,3.4972601738784643
92,36,3,36003,6.128610763616441,1778.226384986171,1.0831244880659079,4764579.868770633,19939,2.437366786432008,3.4981273513274167
93,36,75,36075,5.738173430482018,1405.839062518971,1.065350742006081,4777209.370221966,24026,2.4687419867685523,3.490781451180438
94,36,111,36111,19.5256406522111,3006.760226329752,1.1321570171386584,9039387.500240399,70511,2.404371305429209,3.555071880667658
95,36,89,36089,2.6395596382356556,1083.106195625691,1.0854079825600496,7914149.349925651,24757,2.570124954632654,3.5147193933219927
96,36,97,36097,8.262544304709818,2190.533159177909,1.0854425462757762,1942240.2267773333,9040,2.4844389844389845,3.40741802732212
97,36,31,36031,2.8089276680201625,1142.2017415227383,1.1457313837815004,5668865.973253035,17055,2.4520479162183486,3.573353732852394
98,36,103,36103,45.55452189442871,4773.387696746962,1.1029388142880499,29340584.279726177,388507,2.772575979429306,3.464809982188297
99,36,41,36041,0.7707924759951164,525.3112884569638,1.1784112102538344,2459609.426770266,4107,2.287337212524245,3.5735552635963916
100,36,27,36027,35.056753404153774,4323.608976936826,1.1175774299020536,9241737.571722658,90693,2.421183975231537,3.5628256219693917
101,36,77,36077,6.412114584475901,1791.2447766892305,1.0746445233927069,4712409.259049509,21160,2.5154425277135575,3.5575675460512657
102,36,109,36109,17.885438521846595,2821.096801753755,1.08377160833544,3591545.9437838183,30399,2.675450153711023,3.2669280919709704
103,36,1,36001,41.719596179167624,5199.033369048033,1.1229050812707584,7181140.886521647,77991,2.706117136659436,3.5515813217222436
104,36,11,36011,4.923343181922021,1530.881632796973,1.05948352006277,3424420.926800243,14320,2.612276400617452,3.32522440928279
105,36,39,36039,10.329501642159931,2331.0861762618297,1.1262935335237068,3972967.288720831,20995,2.3894348196535073,3.560428828816309
106,36,43,36043,2.944544188606967,856.9841545565469,1.0741241445811056,3234051.62750758,13564,2.4521238300935924,3.560722620172274
107,36,113,36113,7.17881292349958,1760.1086475418163,1.1350807911139107,4247025.562250832,22157,2.5604433668167648,3.5447517125805623
108,36,45,36045,3.530654879633004,1194.846763705687,1.0685927009096152,5745368.550307011,22425,2.646462861518525,3.5720422906133518
109,36,19,36019,4.3643718106817255,1550.3717330506158,1.0903426106134693,4487311.480649552,16108,2.555335655478151,3.4559111220136463
