GEOID,count
19095,4
19099,9
19097,6
19101,4
19103,24
19105,5
19107,4
19109,6
19111,11
19113,45
19117,4
19123,7
19125,8
19127,10
19129,5
19133,4
19137,4
19139,10
19141,4
19147,4
19145,6
19149,6
19153,98
19155,30
19157,5
19161,4
19163,47
19165,4
19167,7
19169,20
19171,6
19175,4
19179,11
19183,5
19181,12
19187,12
19191,5
19193,26
19197,5
20001,5
20005,4
20009,8
20011,5
20015,13
20029,4
20021,6
20035,11
20037,11
20041,6
20045,22
20051,6
20055,12
20057,7
20059,5
20061,8
20079,6
20087,4
20091,130
20099,8
20103,16
20111,8
20113,7
20115,4
20117,4
20121,8
20125,13
20133,5
20149,4
20139,5
20155,17
20161,14
20169,12
20173,124
20175,5
20177,43
20191,6
20205,4
20209,70
21001,7
21003,6
21005,5
21009,10
21013,9
21015,22
21017,6
21019,13
21021,7
21025,7
21027,6
21029,18
21031,5
21035,9
21037,25
21043,7
21045,5
21047,19
21049,10
21051,6
21055,4
21059,23
21061,4
21065,4
21067,82
21069,4
21071,10
21073,11
21079,4
21081,4
21083,9
21085,7
21089,9
21087,4
21093,22
21095,11
21097,5
21099,5
21101,11
21103,5
21107,12
21111,191
21113,9
21115,6
21117,41
21119,5
21121,8
21123,4
21125,13
21127,5
21135,4
21133,7
21137,6
21141,6
21145,17
21147,4
21151,19
21153,4
21155,6
21157,6
21161,5
21163,8
21171,4
21167,5
21173,6
21175,5
21177,9
21179,9
21183,7
21185,14
21193,8
21195,19
21203,4
21199,14
21205,4
21207,5
21209,14
21211,9
21213,4
21215,4
21217,5
21219,4
21221,5
21225,4
21227,24
21233,4
21231,5
21235,8
21239,8
22003,5
22001,12
22005,14
22007,6
22009,9
22011,7
22013,5
22015,22
22017,64
22019,44
22027,5
22029,5
22031,7
22033,92
22037,5
22039,8
22041,6
22043,5
22045,15
22047,7
22049,5
22051,126
22053,7
22055,43
22057,23
22061,10
22063,17
22065,5
22067,8
22069,9
22071,177
22073,40
22075,9
22077,6
22079,33
22083,6
22085,7
22087,17
22089,13
22093,7
22095,11
22097,19
22099,11
22101,16
22103,43
22105,20
22111,6
22109,21
22113,12
22115,12
22117,11
22119,11
22121,5
22127,4
23001,28
23003,24
23005,66
23007,9
23009,17
23011,31
23013,10
23015,10
23017,17
23019,46
23021,8
23025,17
23027,8
23029,14
23031,41
24001,23
24003,104
24005,214
24009,18
24011,9
24013,38
24015,19
24017,31
24019,9
24021,61
24023,7
24025,57
24027,55
24029,5
24031,215
24033,218
24035,12
24039,7
24037,17
24041,10
24043,32
24045,19
24047,16
24510,200
25001,57
25003,39
25005,126
25007,4
25009,163
25011,18
25013,103
25015,36
25017,318
25019,5
25021,130
25023,100
25025,204
25027,172
26001,5
26005,24
26007,9
26009,7
26011,5
26015,11
26017,27
26019,5
26021,48
26023,12
26025,39
26027,11
26029,13
26031,8
26033,14
26035,11
26037,22
26039,5
26041,11
26043,7
26045,28
26047,8
26049,131
26051,9
26053,7
26055,16
26057,10
26059,12
26061,10
26063,12
26065,81
26067,13
26069,9
26071,5
26073,15
26075,38
26077,57
26079,5
26081,128
26085,4
26087,24
26089,6
26091,23
26093,61
26097,5
26101,9
26099,216
26103,24
26105,8
26107,11
26109,7
26113,4
26111,19
26115,39
26117,13
26119,5
26121,42
26123,11
26125,338
26127,7
26129,7
26131,4
26135,5
26133,6
26137,6
26139,53
26141,6
26143,10
26145,56
26147,49
26149,17
26151,12
26155,17
26157,13
26159,15
26161,100
26163,611
26165,8
27001,6
27003,83
27005,10
27007,10
27009,9
27013,16
27015,8
27017,7
27019,19
27021,10
27023,4
27025,10
27027,13
27033,4
27035,16
27037,95
27039,5
27041,9
27043,6
27045,6
27047,10
27049,10
27053,299
27055,5
27059,8
27057,7
27061,11
27063,4
27065,4
27071,4
27067,12
27079,6
27083,7
27085,7
27089,4
27091,6
27095,7
27093,6
27097,8
27099,11
27105,6
27103,7
27109,33
27111,17
27113,5
27115,8
27117,5
27121,4
27119,10
27123,137
27127,6
27129,6
27131,13
27135,5
27137,66
27139,21
27141,11
27143,4
27145,29
27147,8
27151,4
27153,8
27157,6
27161,5
27163,50
27169,10
27171,17
27173,4
28001,9
28007,6
28003,7
28011,8
28013,5
28017,4
28023,4
28025,5
28027,7
28029,6
28031,4
28033,33
28035,17
28039,5
28043,5
28045,7
28047,45
28049,64
28051,5
28057,5
28059,28
28061,4
28067,14
28071,10
28073,8
28075,19
28079,5
28081,19
28083,8
28085,6
28087,14
28089,21
28091,6
28093,6
28095,9
28099,7
28101,5
28105,8
28107,6
28109,9
28113,8
28115,6
28117,5
28121,27
28123,6
28127,5
28133,7
28135,4
28137,5
28139,4
28141,4
28149,12
28145,6
28151,19
28153,4
28159,5
29001,7
28163,6
29003,4
29007,7
29009,7
29013,4
29015,6
29019,29
29021,25
29023,10
29027,8
29029,11
29031,16
29037,20
29043,14
29049,4
29047,44
29051,15
29053,5
29065,4
29055,6
29069,10
29071,17
29073,5
29077,62
29079,4
29083,6
29091,8
29093,4
29095,199
29097,22
29099,42
29101,9
29105,6
29107,7
29109,7
29111,4
29113,7
29115,5
29117,5
29119,4
29121,5
29127,8
29131,5
29133,4
29135,4
29139,4
29141,5
29143,6
29145,12
29147,5
29151,4
29155,6
29157,5
29159,11
29161,10
29163,5
29165,20
29167,4
29169,9
29175,6
29177,4
29181,4
29183,79
29186,4
29187,11
29189,199
29195,8
29201,10
29207,8
29209,6
29213,10
29215,4
29217,6
29221,5
29219,5
29223,4
29225,8
29229,4
29510,106
30003,5
30005,4
30009,5
30013,22
30017,6
30029,19
30031,22
30035,4
30041,6
30047,8
30049,14
30053,5
30063,20
30067,6
30081,10
30087,4
30083,4
30093,8
30111,32
31001,9
31019,11
31025,6
31041,4
31043,4
31053,9
31047,7
31055,156
31067,7
31079,14
31089,4
31109,74
31111,8
31119,9
31131,5
31151,4
31141,7
31155,5
31153,43
31157,11
31159,4
31185,4
31177,5
32001,7
32003,487
32005,17
32007,14
32013,4
32019,10
32023,10
32031,112
32510,14
33001,15
33003,11
33005,16
33007,11
33009,19
33011,86
33013,36
33015,65
33017,25
33019,10
34001,69
34003,179
34005,114
34007,127
34009,33
34011,35
34013,210
34015,63
34017,166
01001,12
01003,31
01005,9
01007,4
01009,9
01013,9
01015,31
01017,9
01019,6
01021,9
01023,4
01025,9
01027,4
01029,4
01031,14
01033,14
01035,5
01039,14
01041,6
01043,18
01045,14
01047,15
01049,14
01051,15
01053,9
01055,30
01057,5
01059,9
01061,6
01065,6
01067,6
01069,22
01071,11
01073,163
01077,22
01079,9
01081,27
01083,16
01085,4
01087,12
01089,73
01091,6
01093,8
01095,18
01097,115
01099,7
01101,65
01103,27
01107,5
01109,8
01113,13
01111,6
01115,13
01117,48
01119,4
01121,22
01123,10
01125,47
01127,18
01129,5
01131,4
01133,7
02020,55
02090,19
02110,6
02122,13
02130,4
02150,5
02170,24
02290,4
02198,4
04001,16
04003,32
04005,28
04007,16
04009,9
04012,9
04013,916
04015,43
04017,31
04021,75
04023,10
04025,42
04027,55
05001,8
05005,9
05003,7
05007,49
05009,7
05011,5
05015,5
05017,4
05019,5
05021,6
05023,7
05027,5
05029,6
05031,17
05033,11
05037,6
05035,20
05041,5
05043,5
05045,25
05053,4
05051,20
05055,9
05057,5
05059,7
05063,8
05065,4
05067,5
05069,24
05075,6
05071,6
05077,4
05079,4
05083,6
05081,4
05085,16
05087,4
05089,4
05091,12
05093,12
05103,6
05107,6
05111,7
05113,6
05115,11
05121,4
05119,95
05123,6
05125,21
05131,26
05135,4
05133,4
05139,10
05141,5
05143,32
05145,13
05149,6
06001,361
06005,9
06007,51
06009,10
06011,5
06013,207
06015,7
06017,43
06019,199
06021,6
06023,30
06025,31
06027,6
06029,151
06031,27
06033,15
06035,9
06039,23
06041,55
06043,6
06045,20
06047,49
06049,4
06053,93
06055,40
06057,20
06059,582
06061,85
06063,7
06065,453
06067,317
06069,11
06071,369
06073,627
06075,196
06077,139
06079,53
06081,158
06083,90
06085,372
06087,52
06089,48
06093,14
06095,96
06097,99
06099,94
06101,21
06103,11
06105,5
06107,78
06109,11
06111,174
06113,41
06115,14
08001,97
08003,4
08005,147
08007,4
08013,68
08014,18
08015,5
08029,7
08031,144
08035,61
08039,7
08037,14
08041,130
08043,14
08045,11
08051,4
08059,138
08067,10
08069,73
08071,6
08075,6
08077,29
08081,4
08083,7
08085,10
08087,8
08089,7
08093,5
08097,4
08099,5
08101,55
08107,8
08113,4
08119,6
08117,5
08123,77
09001,210
09003,224
09005,51
09007,36
09009,189
09011,66
09015,25
09013,29
10001,33
10003,131
10005,53
11001,179
12001,56
12003,4
12005,43
12007,4
12009,113
12011,361
12015,38
12017,28
12019,30
12021,74
12023,12
12027,9
12031,173
12033,71
12035,20
12037,4
12041,5
12039,9
12049,6
12051,7
12053,45
12055,27
